11-Marzo-2018 => Estacion: Cotocollao;0.52;11.91
12-Marzo-2018 => Estacion: Cotocollao;0.6;14.89
13-Marzo-2018 => Estacion: Cotocollao;0.6;20.95
14-Marzo-2018 => Estacion: Cotocollao;0.7;26.9
15-Marzo-2018 => Estacion: Cotocollao;0.61;29.35
16-Marzo-2018 => Estacion: Cotocollao;0.65;29.6
17-Marzo-2018 => Estacion: Cotocollao;0.66;19.45
18-Marzo-2018 => Estacion: Cotocollao;0.47;19.8
19-Marzo-2018 => Estacion: Cotocollao;0.59;16.26
20-Marzo-2018 => Estacion: Cotocollao;0.62;25.54
21-Marzo-2018 => Estacion: Cotocollao;0.64;23.81
22-Marzo-2018 => Estacion: Cotocollao;0.76;18.74
23-Marzo-2018 => Estacion: Cotocollao;0.94;25.7
24-Marzo-2018 => Estacion: Cotocollao;0.98;25.62
25-Marzo-2018 => Estacion: Cotocollao;0.59;17.69
26-Marzo-2018 => Estacion: Cotocollao;0.52;19.45
27-Marzo-2018 => Estacion: Cotocollao;0.54;21.98
28-Marzo-2018 => Estacion: Cotocollao;0.59;22.13
29-Marzo-2018 => Estacion: Cotocollao;0.64;18.74
30-Marzo-2018 => Estacion: Cotocollao;0.57;15.55
31-Marzo-2018 => Estacion: Cotocollao;0.52;12.63
01-Marzo-2018 => Estacion: Carapungo;0.4;19.94
02-Marzo-2018 => Estacion: Carapungo;0.49;18.36
03-Marzo-2018 => Estacion: Carapungo;0.43;14.98
04-Marzo-2018 => Estacion: Carapungo;0.41;16.21
05-Marzo-2018 => Estacion: Carapungo;0.38;13.75
06-Marzo-2018 => Estacion: Carapungo;0.44;16.51
07-Marzo-2018 => Estacion: Carapungo;0.54;21.49
08-Marzo-2018 => Estacion: Carapungo;0.43;18.89
09-Marzo-2018 => Estacion: Carapungo;0.43;14.93
10-Marzo-2018 => Estacion: Carapungo;0.78;21.5
11-Marzo-2018 => Estacion: Carapungo;0.37;20.67
12-Marzo-2018 => Estacion: Carapungo;0.54;19.71
13-Marzo-2018 => Estacion: Carapungo;0.45;22.66
14-Marzo-2018 => Estacion: Carapungo;0.46;28.27
15-Marzo-2018 => Estacion: Carapungo;0.52;34.32
16-Marzo-2018 => Estacion: Carapungo;0.59;35.12
17-Marzo-2018 => Estacion: Carapungo;0.52;26.79
18-Marzo-2018 => Estacion: Carapungo;0.41;21.05
19-Marzo-2018 => Estacion: Carapungo;0.46;19.94
20-Marzo-2018 => Estacion: Carapungo;0.42;32.59
21-Marzo-2018 => Estacion: Carapungo;0.42;27.63
22-Marzo-2018 => Estacion: Carapungo;0.55;22.73
23-Marzo-2018 => Estacion: Carapungo;0.6;25.53
24-Marzo-2018 => Estacion: Carapungo;0.78;29.54
25-Marzo-2018 => Estacion: Carapungo;0.72;26.03
26-Marzo-2018 => Estacion: Carapungo;0.4;22.27
27-Marzo-2018 => Estacion: Carapungo;0.39;24.27
28-Marzo-2018 => Estacion: Carapungo;0.51;24.11
29-Marzo-2018 => Estacion: Carapungo;0.36;22.43
30-Marzo-2018 => Estacion: Carapungo;0.41;17.29
31-Marzo-2018 => Estacion: Carapungo;0.35;15.8
01-Marzo-2018 => Estacion: Belisario;0.61;21.66
02-Marzo-2018 => Estacion: Belisario;0.94;21.18
03-Marzo-2018 => Estacion: Belisario;0.63;24.48
04-Marzo-2018 => Estacion: Belisario;0.39;18.79
05-Marzo-2018 => Estacion: Belisario;0.48;16.34
06-Marzo-2018 => Estacion: Belisario;0.61;19.42
07-Marzo-2018 => Estacion: Belisario;0.64;20.74
08-Marzo-2018 => Estacion: Belisario;0.41;17.15
09-Marzo-2018 => Estacion: Belisario;0.55;16.22
10-Marzo-2018 => Estacion: Belisario;0.36;16.5
